"ObjectID","Title","ConstituentID","Date","Medium","Dimensions","CreditLine","AccessionNumber","Classification","Department","DateAcquired","Cataloged","URL","Circumference (cm)","Depth (cm)","Diameter (cm)","Height (cm)","Length (cm)","Weight (kg)","Width (cm)","Seat Height (cm)","Duration (sec.)"
"6334","Olivetti Lexikon","[4629]","1950","Silkscreen","27 3/8 x 19 1/2"" (69.5 x 49.5 cm)","Gift of Olivetti Co.","335.1953","Design","Architecture & Design","1953-04-07","Y","http://www.moma.org/collection/works/6334","","","","69.53263907","","","49.53009906","",""
"76232","Georgia O'Keeffe","[4400]","1963","Lithograph","composition: 20 1/8 x 20 1/16"" (51.1 x 50.9cm); sheet: 20 1/8 x 20 1/16"" (51.1 x 50.9cm)","Gift of Kleiner, Bell & Co.","1270.1967","Print","Drawings & Prints","1969-12-04","Y","http://www.moma.org/collection/works/76232","","","","51.1","","","50.9","",""
"63851","Untitled from the portfolio SUITES, no. 8","[527, 7846, 6976, 2678, 194]","-1964","Lithograph","","Gift of Jan Krugier","181.1999.2","Print","Drawings & Prints","1999-05-20","N","","","","","","","","","",""
"108897","Álvaro Barrios: Apropiaciones y Grabados Populares","[26617]","2006","Exhibition catalogue","overall: 11 x 8 7/16"" (27.9 x 21.5 cm)","Gift of the artist","93.2007.1","Illustrated Book","Drawings & Prints","2007-03-07","N","","","","","27.9","","","21.5","",""
"163864","Heriberto Cummins, Sociedad Central de Arquitectos (Poster advertising lecture to architectural students, Buenos Aires)","[2164]","1963","Lithograph","22 3/8 x 15 1/2"" (56.8 x 39.4 cm)","Gift of the designer","364.2014","Design","Architecture & Design","2014-05-19","Y","http://www.moma.org/collection/works/163864","","","","56.83261367","","","39.37007874","",""
"63215","The Will Torture You, My Friend from Conspiracy: The Artist as Witness","[2223, 5564]","1971, published 1972","Screenprint","composition (irreg.): 17 11/16 × 23 1/2"" (44.9 × 59.7 cm); sheet: 17 11/16 × 23 3/4"" (44.9 × 60.4 cm)","Purchase","147.1985","Print","Drawings & Prints","1985-06-04","Y","http://www.moma.org/collection/works/63215","","","","44.9","","","59.7","",""
"159631","APN (Asahi Picture News)","[38961, 35538]","1953-54","Gelatin silver prints, printed 2002","21 1/16 × 17 1/8"" (53.5 × 43.5 cm)","Committee on Photography Fund","701.2012.1-10","Photograph","Photography","2012-05-09","Y","http://www.moma.org/collection/works/159631","","0.0","","53.5","","","43.5","",""
"161814","Untitled from the portfolio APN (Asahi Picture News)","[38961, 35538]","1953-54","Gelatin silver print, printed 2002","7 5/16 × 4 15/16"" (18.6 × 12.5 cm)
","Committee on Photography Fund","701.2012.4","Photograph","Photography","2012-05-09","Y","http://www.moma.org/collection/works/161814","","","","18.6","","","12.5","",""
"99333","Popular Print ""The Martyrdom of Saint Sebastian""","[26617]","1980","Six photolithographs","Sheet: (each) 11 x 8 1/4"" (28 x 21 cm)","Gift of the artist","520.2005.1-6","Print","Drawings & Prints","2005-06-02","Y","http://www.moma.org/collection/works/99333","","","","28.0","","","21.0","",""
"51480","UNTITLED (Delivery Man and Truck)","[2973]","n.d.","Gelatin silver print","5 3/4 × 8 3/4"" (14.7 × 22.3 cm)","David H. McAlpin Fund","350.1974","Photograph","Photography","1974-06-04","N","","","","","14.7","","","22.3","",""
"101419","Fjord Armchair and Foot Stool","[29640]","2002","Armchair: Steel, polyurethane foam and felt. Foot Stool: Polyurethane foam, leather and felt","armchair .1: 40 3/16 x 37 3/8 x 31 1/2"" (102 x 95 x 80 cm)
foot stool .2: 13 3/4 x 31 1/2 x 23 5/8"" (35 x 80 x 60 cm)","Gift of the manufacturer","186.2006.1-2","Design","Architecture & Design","2006-02-09","Y","http://www.moma.org/collection/works/101419","","80.0","","102.0","","","95.0","",""
